recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
14726288,289.514735,49.524018,0.904,0.964,20122234,2,6,0.732,0.351,16.766,0.206,17.498,0.284,17.018,0.000,16.468,0.000,,
14726289,289.539610,49.500977,0.695,0.991,20122234,2,7,0.589,0.065,16.123,0.052,16.712,0.039,16.297,0.000,15.987,0.000,15.555,0.000
14726290,289.509195,49.534236,0.354,0.720,20122234,4,17,0.763,0.057,15.255,0.053,16.018,0.022,15.560,0.006,15.043,0.058,14.969,0.115
14726291,289.534375,49.544679,0.835,0.335,20122234,2,6,0.648,0.142,16.707,0.046,17.355,0.134,16.851,0.000,16.890,0.000,,
14726292,289.570544,49.546175,0.790,0.876,20122234,2,6,0.675,0.062,16.241,0.016,16.917,0.060,16.483,0.000,15.958,0.000,,
14726293,289.581439,49.524090,0.414,0.482,20122234,4,17,0.493,0.038,14.286,0.032,14.779,0.021,14.467,0.016,14.140,0.033,14.103,0.058
14726294,289.571823,49.559541,0.279,0.513,20122234,4,20,0.672,0.032,14.196,0.031,14.868,0.006,14.446,0.031,14.025,0.019,13.980,0.041
14726295,289.578304,49.572314,0.280,0.385,20122234,4,20,0.460,0.033,13.548,0.027,14.008,0.019,13.691,0.026,13.435,0.019,13.426,0.050
14726296,289.582623,49.553925,0.394,0.487,20122234,3,15,0.681,0.030,14.668,0.030,15.348,0.006,14.964,0.011,14.493,0.038,14.405,0.035
14726298,289.517985,49.557784,0.427,0.460,20122234,4,16,0.666,0.035,14.954,0.026,15.620,0.024,15.238,0.020,14.783,0.031,14.679,0.053
14726299,289.539513,49.577162,0.356,0.430,20122234,4,19,0.546,0.026,14.448,0.014,14.994,0.021,14.614,0.019,14.270,0.035,14.227,0.066
14726300,289.679678,49.544997,1.037,1.082,20122234,3,8,0.619,0.044,16.374,0.014,16.993,0.042,16.446,0.000,16.495,0.000,,
14726301,289.710935,49.561628,0.298,0.450,20122234,4,20,0.381,0.066,13.954,0.056,14.336,0.035,13.996,0.041,13.821,0.041,13.777,0.082
14726302,289.668593,49.561895,0.982,1.156,20122234,2,4,,,,,,,14.673,0.170,13.358,0.024,,
14726303,289.692397,49.587847,0.757,0.407,20122234,4,19,0.995,0.014,13.933,0.012,14.928,0.008,14.405,0.023,13.603,0.016,13.312,0.060
14726304,289.707969,49.585681,1.139,0.580,20122234,2,4,0.842,0.102,16.477,0.000,17.319,0.102,16.936,0.000,16.097,0.000,,
14726305,289.709947,49.570662,0.299,0.311,20122234,4,19,0.881,0.032,13.543,0.030,14.423,0.011,13.900,0.027,13.299,0.017,13.133,0.038
14726306,289.732839,49.579692,0.638,0.500,20122234,4,17,0.700,0.048,15.322,0.026,16.022,0.041,15.557,0.035,15.020,0.069,14.899,0.075
14726309,289.670905,49.598242,0.342,0.293,20122234,4,20,1.097,0.023,14.022,0.012,15.119,0.019,14.503,0.020,13.677,0.050,13.437,0.032
14726310,289.677790,49.643787,0.918,1.314,20122234,4,12,0.648,0.144,16.919,0.092,17.567,0.111,17.103,0.034,16.691,0.142,,
14726311,289.600558,49.597841,0.261,0.674,20122234,4,19,0.584,0.032,14.205,0.030,14.788,0.013,14.399,0.021,14.023,0.029,13.969,0.172
14726312,289.621593,49.586070,0.671,0.786,20122234,2,5,0.926,0.072,16.035,0.000,16.961,0.072,16.432,0.000,15.606,0.000,15.401,0.000
14726313,289.595800,49.608718,0.379,0.796,20122234,3,10,0.763,0.030,15.069,0.029,15.832,0.008,15.388,0.000,14.965,0.052,14.726,0.086
14726314,289.601138,49.627644,0.602,0.830,20122234,3,9,1.015,0.180,16.204,0.154,17.219,0.093,16.596,0.034,15.962,0.043,15.537,0.000
14726315,289.612177,49.597155,0.352,0.240,20122234,4,20,0.650,0.039,13.924,0.039,14.574,0.005,14.147,0.023,13.718,0.036,13.590,0.086
14726316,289.556241,49.596487,0.342,0.655,20122234,4,18,0.626,0.060,15.323,0.022,15.949,0.056,15.518,0.028,15.160,0.052,15.038,0.118
14726318,289.581896,49.599958,0.371,0.450,20122234,4,20,0.746,0.054,14.389,0.052,15.135,0.012,14.667,0.021,14.171,0.026,14.005,0.077
14726319,289.557160,49.626199,0.902,0.587,20122234,3,8,1.086,0.000,16.546,0.000,17.632,0.000,17.065,0.058,16.386,0.074,,
14726320,289.568726,49.623858,0.291,0.573,20122234,4,20,0.628,0.031,14.577,0.029,15.205,0.011,14.797,0.022,14.379,0.028,14.311,0.076
14726321,289.624506,49.629121,0.419,0.587,20122234,4,20,0.561,0.071,15.377,0.068,15.938,0.022,15.545,0.026,15.194,0.046,15.065,0.084
14726322,289.646152,49.649383,1.005,0.124,20122234,2,4,0.984,0.000,16.669,0.000,17.653,0.000,17.088,0.049,16.535,0.000,,
14726323,289.585142,49.663316,0.293,0.311,20122234,4,20,0.507,0.028,14.532,0.027,15.040,0.005,14.708,0.022,14.392,0.023,14.321,0.116
14726324,289.586504,49.651501,0.691,1.144,20122234,4,15,0.622,0.112,16.138,0.111,16.760,0.014,16.336,0.058,15.981,0.052,16.106,0.000
14726325,289.596828,49.636963,0.306,0.616,20122234,4,17,0.575,0.023,14.262,0.015,14.837,0.017,14.470,0.026,14.106,0.043,14.084,0.000
14726326,289.888144,49.570587,0.243,0.414,20122234,4,20,1.025,0.027,14.406,0.018,15.431,0.021,14.827,0.025,14.115,0.039,13.878,0.027
14726327,289.907282,49.552831,0.407,0.433,20122234,4,20,0.470,0.057,14.990,0.041,15.460,0.039,15.139,0.032,14.887,0.014,14.874,0.047
14726328,289.927172,49.548835,0.751,0.694,20122234,3,13,0.530,0.140,15.978,0.123,16.508,0.066,16.169,0.029,15.755,0.033,15.612,0.000
14726330,289.852166,49.589372,0.841,0.655,20122234,2,6,1.216,0.000,16.731,0.000,17.947,0.000,17.339,0.000,16.672,0.000,,
14726331,289.856202,49.574953,1.518,0.737,20122234,3,6,0.519,0.058,16.779,0.011,17.298,0.057,16.896,0.000,16.521,0.000,,
14726332,289.899108,49.590371,0.493,0.562,20122234,4,17,1.195,0.177,15.729,0.152,16.923,0.091,16.237,0.087,15.090,0.097,14.613,0.121
14726333,289.910171,49.613115,0.432,0.321,20122234,4,20,0.637,0.027,14.019,0.024,14.656,0.014,14.248,0.024,13.840,0.012,13.774,0.054
14726335,289.947727,49.602025,0.354,0.319,20122234,4,20,0.813,0.026,14.488,0.022,15.301,0.014,14.816,0.017,14.261,0.025,14.084,0.063
14726336,289.873411,49.620399,0.606,0.346,20122234,3,4,,,,,,,16.106,0.000,15.033,0.000,14.470,0.049
14726337,289.878642,49.588886,0.426,0.523,20122234,4,19,0.578,0.030,15.073,0.026,15.651,0.014,15.242,0.043,14.875,0.026,14.768,0.086
14726338,289.878290,49.637652,0.346,0.274,20122234,4,20,0.583,0.030,13.501,0.029,14.083,0.009,13.691,0.023,13.350,0.029,13.268,0.042
